"Absolute way";"Relative way";"Class"
"D:/dataset/tiger/tiger_0000.jpg";"dataset/copy_dataset/tiger_0000.jpg";"tiger"
"D:/dataset/tiger/tiger_0001.jpg";"dataset/copy_dataset/tiger_0001.jpg";"tiger"
"D:/dataset/tiger/tiger_0002.jpg";"dataset/copy_dataset/tiger_0002.jpg";"tiger"
"D:/dataset/tiger/tiger_0003.jpg";"dataset/copy_dataset/tiger_0003.jpg";"tiger"
"D:/dataset/tiger/tiger_0004.jpg";"dataset/copy_dataset/tiger_0004.jpg";"tiger"
"D:/dataset/tiger/tiger_0005.jpg";"dataset/copy_dataset/tiger_0005.jpg";"tiger"
"D:/dataset/tiger/tiger_0006.jpg";"dataset/copy_dataset/tiger_0006.jpg";"tiger"
"D:/dataset/tiger/tiger_0007.jpg";"dataset/copy_dataset/tiger_0007.jpg";"tiger"
"D:/dataset/tiger/tiger_0008.jpg";"dataset/copy_dataset/tiger_0008.jpg";"tiger"
"D:/dataset/tiger/tiger_0009.jpg";"dataset/copy_dataset/tiger_0009.jpg";"tiger"
"D:/dataset/tiger/tiger_0010.jpg";"dataset/copy_dataset/tiger_0010.jpg";"tiger"
"D:/dataset/tiger/tiger_0011.jpg";"dataset/copy_dataset/tiger_0011.jpg";"tiger"
"D:/dataset/tiger/tiger_0012.jpg";"dataset/copy_dataset/tiger_0012.jpg";"tiger"
"D:/dataset/tiger/tiger_0013.jpg";"dataset/copy_dataset/tiger_0013.jpg";"tiger"
"D:/dataset/tiger/tiger_0014.jpg";"dataset/copy_dataset/tiger_0014.jpg";"tiger"
"D:/dataset/tiger/tiger_0015.jpg";"dataset/copy_dataset/tiger_0015.jpg";"tiger"
"D:/dataset/tiger/tiger_0016.jpg";"dataset/copy_dataset/tiger_0016.jpg";"tiger"
"D:/dataset/tiger/tiger_0017.jpg";"dataset/copy_dataset/tiger_0017.jpg";"tiger"
"D:/dataset/tiger/tiger_0018.jpg";"dataset/copy_dataset/tiger_0018.jpg";"tiger"
"D:/dataset/tiger/tiger_0019.jpg";"dataset/copy_dataset/tiger_0019.jpg";"tiger"
"D:/dataset/tiger/tiger_0020.jpg";"dataset/copy_dataset/tiger_0020.jpg";"tiger"
"D:/dataset/tiger/tiger_0021.jpg";"dataset/copy_dataset/tiger_0021.jpg";"tiger"
"D:/dataset/tiger/tiger_0022.jpg";"dataset/copy_dataset/tiger_0022.jpg";"tiger"
"D:/dataset/tiger/tiger_0023.jpg";"dataset/copy_dataset/tiger_0023.jpg";"tiger"
"D:/dataset/tiger/tiger_0024.jpg";"dataset/copy_dataset/tiger_0024.jpg";"tiger"
"D:/dataset/tiger/tiger_0025.jpg";"dataset/copy_dataset/tiger_0025.jpg";"tiger"
"D:/dataset/tiger/tiger_0026.jpg";"dataset/copy_dataset/tiger_0026.jpg";"tiger"
"D:/dataset/tiger/tiger_0027.jpg";"dataset/copy_dataset/tiger_0027.jpg";"tiger"
"D:/dataset/tiger/tiger_0028.jpg";"dataset/copy_dataset/tiger_0028.jpg";"tiger"
"D:/dataset/tiger/tiger_0029.jpg";"dataset/copy_dataset/tiger_0029.jpg";"tiger"
"D:/dataset/tiger/tiger_0030.jpg";"dataset/copy_dataset/tiger_0030.jpg";"tiger"
"D:/dataset/tiger/tiger_0031.jpg";"dataset/copy_dataset/tiger_0031.jpg";"tiger"
"D:/dataset/tiger/tiger_0032.jpg";"dataset/copy_dataset/tiger_0032.jpg";"tiger"
"D:/dataset/tiger/tiger_0033.jpg";"dataset/copy_dataset/tiger_0033.jpg";"tiger"
"D:/dataset/tiger/tiger_0034.jpg";"dataset/copy_dataset/tiger_0034.jpg";"tiger"
"D:/dataset/tiger/tiger_0035.jpg";"dataset/copy_dataset/tiger_0035.jpg";"tiger"
"D:/dataset/tiger/tiger_0036.jpg";"dataset/copy_dataset/tiger_0036.jpg";"tiger"
"D:/dataset/tiger/tiger_0037.jpg";"dataset/copy_dataset/tiger_0037.jpg";"tiger"
"D:/dataset/tiger/tiger_0038.jpg";"dataset/copy_dataset/tiger_0038.jpg";"tiger"
"D:/dataset/tiger/tiger_0039.jpg";"dataset/copy_dataset/tiger_0039.jpg";"tiger"
"D:/dataset/tiger/tiger_0040.jpg";"dataset/copy_dataset/tiger_0040.jpg";"tiger"
"D:/dataset/tiger/tiger_0041.jpg";"dataset/copy_dataset/tiger_0041.jpg";"tiger"
"D:/dataset/tiger/tiger_0042.jpg";"dataset/copy_dataset/tiger_0042.jpg";"tiger"
"D:/dataset/tiger/tiger_0043.jpg";"dataset/copy_dataset/tiger_0043.jpg";"tiger"
"D:/dataset/tiger/tiger_0044.jpg";"dataset/copy_dataset/tiger_0044.jpg";"tiger"
