"Absolute way";"Relative way";"Class"
"D:/dataset/random_dataset/08224.jpg";"dataset/random_dataset/08224.jpg";"tiger"
"D:/dataset/random_dataset/09281.jpg";"dataset/random_dataset/09281.jpg";"tiger"
"D:/dataset/random_dataset/05752.jpg";"dataset/random_dataset/05752.jpg";"tiger"
"D:/dataset/random_dataset/05242.jpg";"dataset/random_dataset/05242.jpg";"tiger"
"D:/dataset/random_dataset/06757.jpg";"dataset/random_dataset/06757.jpg";"tiger"
"D:/dataset/random_dataset/01454.jpg";"dataset/random_dataset/01454.jpg";"tiger"
"D:/dataset/random_dataset/08295.jpg";"dataset/random_dataset/08295.jpg";"tiger"
"D:/dataset/random_dataset/00244.jpg";"dataset/random_dataset/00244.jpg";"tiger"
"D:/dataset/random_dataset/04506.jpg";"dataset/random_dataset/04506.jpg";"tiger"
"D:/dataset/random_dataset/03471.jpg";"dataset/random_dataset/03471.jpg";"tiger"
"D:/dataset/random_dataset/04838.jpg";"dataset/random_dataset/04838.jpg";"tiger"
"D:/dataset/random_dataset/00987.jpg";"dataset/random_dataset/00987.jpg";"tiger"
"D:/dataset/random_dataset/05531.jpg";"dataset/random_dataset/05531.jpg";"tiger"
"D:/dataset/random_dataset/07267.jpg";"dataset/random_dataset/07267.jpg";"tiger"
"D:/dataset/random_dataset/00023.jpg";"dataset/random_dataset/00023.jpg";"tiger"
"D:/dataset/random_dataset/03845.jpg";"dataset/random_dataset/03845.jpg";"tiger"
"D:/dataset/random_dataset/09650.jpg";"dataset/random_dataset/09650.jpg";"tiger"
"D:/dataset/random_dataset/06474.jpg";"dataset/random_dataset/06474.jpg";"tiger"
"D:/dataset/random_dataset/07362.jpg";"dataset/random_dataset/07362.jpg";"tiger"
"D:/dataset/random_dataset/09318.jpg";"dataset/random_dataset/09318.jpg";"tiger"
"D:/dataset/random_dataset/07654.jpg";"dataset/random_dataset/07654.jpg";"tiger"
"D:/dataset/random_dataset/02049.jpg";"dataset/random_dataset/02049.jpg";"tiger"
"D:/dataset/random_dataset/01638.jpg";"dataset/random_dataset/01638.jpg";"tiger"
"D:/dataset/random_dataset/03541.jpg";"dataset/random_dataset/03541.jpg";"tiger"
"D:/dataset/random_dataset/08260.jpg";"dataset/random_dataset/08260.jpg";"tiger"
"D:/dataset/random_dataset/02825.jpg";"dataset/random_dataset/02825.jpg";"tiger"
"D:/dataset/random_dataset/01550.jpg";"dataset/random_dataset/01550.jpg";"tiger"
"D:/dataset/random_dataset/09881.jpg";"dataset/random_dataset/09881.jpg";"tiger"
"D:/dataset/random_dataset/03897.jpg";"dataset/random_dataset/03897.jpg";"tiger"
"D:/dataset/random_dataset/01668.jpg";"dataset/random_dataset/01668.jpg";"tiger"
"D:/dataset/random_dataset/06371.jpg";"dataset/random_dataset/06371.jpg";"tiger"
"D:/dataset/random_dataset/04370.jpg";"dataset/random_dataset/04370.jpg";"tiger"
"D:/dataset/random_dataset/09390.jpg";"dataset/random_dataset/09390.jpg";"tiger"
"D:/dataset/random_dataset/04563.jpg";"dataset/random_dataset/04563.jpg";"tiger"
"D:/dataset/random_dataset/03669.jpg";"dataset/random_dataset/03669.jpg";"tiger"
"D:/dataset/random_dataset/02983.jpg";"dataset/random_dataset/02983.jpg";"tiger"
"D:/dataset/random_dataset/06441.jpg";"dataset/random_dataset/06441.jpg";"tiger"
"D:/dataset/random_dataset/07672.jpg";"dataset/random_dataset/07672.jpg";"tiger"
"D:/dataset/random_dataset/04398.jpg";"dataset/random_dataset/04398.jpg";"tiger"
"D:/dataset/random_dataset/07313.jpg";"dataset/random_dataset/07313.jpg";"tiger"
"D:/dataset/random_dataset/07608.jpg";"dataset/random_dataset/07608.jpg";"tiger"
"D:/dataset/random_dataset/05210.jpg";"dataset/random_dataset/05210.jpg";"tiger"
"D:/dataset/random_dataset/03281.jpg";"dataset/random_dataset/03281.jpg";"tiger"
"D:/dataset/random_dataset/05895.jpg";"dataset/random_dataset/05895.jpg";"tiger"
"D:/dataset/random_dataset/07607.jpg";"dataset/random_dataset/07607.jpg";"tiger"
"D:/dataset/random_dataset/03907.jpg";"dataset/random_dataset/03907.jpg";"tiger"
"D:/dataset/random_dataset/08972.jpg";"dataset/random_dataset/08972.jpg";"tiger"
"D:/dataset/random_dataset/06038.jpg";"dataset/random_dataset/06038.jpg";"tiger"
"D:/dataset/random_dataset/07517.jpg";"dataset/random_dataset/07517.jpg";"tiger"
"D:/dataset/random_dataset/01068.jpg";"dataset/random_dataset/01068.jpg";"tiger"
"D:/dataset/random_dataset/01849.jpg";"dataset/random_dataset/01849.jpg";"tiger"
"D:/dataset/random_dataset/09338.jpg";"dataset/random_dataset/09338.jpg";"tiger"
"D:/dataset/random_dataset/09858.jpg";"dataset/random_dataset/09858.jpg";"tiger"
"D:/dataset/random_dataset/06563.jpg";"dataset/random_dataset/06563.jpg";"tiger"
"D:/dataset/random_dataset/02933.jpg";"dataset/random_dataset/02933.jpg";"tiger"
"D:/dataset/random_dataset/07187.jpg";"dataset/random_dataset/07187.jpg";"tiger"
"D:/dataset/random_dataset/02870.jpg";"dataset/random_dataset/02870.jpg";"tiger"
"D:/dataset/random_dataset/02878.jpg";"dataset/random_dataset/02878.jpg";"tiger"
"D:/dataset/random_dataset/02337.jpg";"dataset/random_dataset/02337.jpg";"tiger"
"D:/dataset/random_dataset/03773.jpg";"dataset/random_dataset/03773.jpg";"tiger"
"D:/dataset/random_dataset/00399.jpg";"dataset/random_dataset/00399.jpg";"tiger"
"D:/dataset/random_dataset/06159.jpg";"dataset/random_dataset/06159.jpg";"tiger"
"D:/dataset/random_dataset/01249.jpg";"dataset/random_dataset/01249.jpg";"tiger"
"D:/dataset/random_dataset/04790.jpg";"dataset/random_dataset/04790.jpg";"tiger"
"D:/dataset/random_dataset/01143.jpg";"dataset/random_dataset/01143.jpg";"tiger"
"D:/dataset/random_dataset/09114.jpg";"dataset/random_dataset/09114.jpg";"tiger"
"D:/dataset/random_dataset/02221.jpg";"dataset/random_dataset/02221.jpg";"tiger"
"D:/dataset/random_dataset/00030.jpg";"dataset/random_dataset/00030.jpg";"tiger"
"D:/dataset/random_dataset/09571.jpg";"dataset/random_dataset/09571.jpg";"tiger"
"D:/dataset/random_dataset/04447.jpg";"dataset/random_dataset/04447.jpg";"tiger"
"D:/dataset/random_dataset/02553.jpg";"dataset/random_dataset/02553.jpg";"tiger"
"D:/dataset/random_dataset/04501.jpg";"dataset/random_dataset/04501.jpg";"tiger"
"D:/dataset/random_dataset/05631.jpg";"dataset/random_dataset/05631.jpg";"tiger"
"D:/dataset/random_dataset/08108.jpg";"dataset/random_dataset/08108.jpg";"tiger"
"D:/dataset/random_dataset/00388.jpg";"dataset/random_dataset/00388.jpg";"tiger"
"D:/dataset/random_dataset/07073.jpg";"dataset/random_dataset/07073.jpg";"tiger"
"D:/dataset/random_dataset/08472.jpg";"dataset/random_dataset/08472.jpg";"tiger"
"D:/dataset/random_dataset/06825.jpg";"dataset/random_dataset/06825.jpg";"tiger"
"D:/dataset/random_dataset/08054.jpg";"dataset/random_dataset/08054.jpg";"tiger"
"D:/dataset/random_dataset/05802.jpg";"dataset/random_dataset/05802.jpg";"tiger"
"D:/dataset/random_dataset/09790.jpg";"dataset/random_dataset/09790.jpg";"tiger"
